,date,brand,model,fuel,transmission_type,color,year,km*1000,price(Thousand)
0,22-10-22,Toyota,Fortuner,Benzene,automatic,Black,2023,7,1750
1,22-10-22,Chevrolet,T-Series,diesel,manual,White,2017,190,278
2,22-10-22,Fiat,Tipo,Benzene,automatic,Silver,2021,20,470
3,22-10-22,Mercedes,C 180,Benzene,automatic,Black,2022,0.12,1950
4,22-10-22,Kia,Sportage,Benzene,automatic,Petroleum,2017,50,610
5,22-10-22,Hyundai,Avante,Benzene,automatic,Silver,2002,121,175
6,22-10-22,MG,HS,Benzene,automatic,Black,2021,36,660
7,22-10-22,Daewoo,Nubira 2,Benzene,manual,Silver,2007,126,100
8,22-10-22,Hyundai,Elantra CN7,Benzene,automatic,Silver,2022,50,600
9,22-10-22,Mercedes,E 200 AMG,Benzene,automatic,Red,2021,22,2425
10,22-10-22,Peugeot,504,natural gas,manual,Green,1975,444.445,30
11,22-10-22,Fiat,Shahin,natural gas,manual,White,1999,30,30
12,22-10-22,Daewoo,Nubira 1,Benzene,automatic,Gold,1997,0.218,80
13,22-10-22,Opel,Astra,Benzene,automatic,Silver,2000,98,0.103
14,22-10-22,Peugeot,504,Benzene,automatic,Red,1979,0,40
15,22-10-22,Toyota,Corolla,Benzene,automatic,Black,2022,15,700
16,22-10-22,Chevrolet,T-Series,diesel,manual,White,2022,20,395
17,22-10-22,Kia,Xceed,Benzene,automatic,Silver,2022,0.05,740
18,22-10-22,Chery,Tiggo 7,Benzene,automatic,Bronze,2023,10,480
19,22-10-22,Mercedes,180,Benzene,automatic,Silver,2010,200,460
20,22-10-22,Kia,Rio,Benzene,automatic,Black,2014,140,165
21,22-10-22,Ford,Focus,Benzene,automatic,Silver,2017,115,360
22,22-10-22,Daewoo,Lanos 2,Benzene,manual,Dark blue,2002,0.19,0.083
23,22-10-22,Hyundai,Elantra HD,Benzene,automatic,Silver,2020,165,310
24,22-10-22,BMW,X5,Benzene,automatic,Blue,2010,88,1750
